Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
3.0,Vehicle,,M4,HCI-023,431.5205,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Vehicle,,M4,HCI-023,446.261794,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Vehicle,,M4,HCI-023,524.102922,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Vehicle,,M4,HCI-023,515.234039,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Vehicle,,M4,HCI-023,496.01322,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Vehicle,,M4,HCI-023,586.824588,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Vehicle,,M5,HCI-023,192.9886145,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Vehicle,,M5,HCI-023,190.21293,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Vehicle,,M5,HCI-023,198.180576,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Vehicle,,M5,HCI-023,220.6224375,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Vehicle,,M5,HCI-023,224.2520595,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Vehicle,,M5,HCI-023,248.2732995,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Vehicle,,M5,HCI-023,272.1681885,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Docetaxel,,M0,HCI-015,199.584,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Docetaxel,,M0,HCI-015,212.310854,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Docetaxel,,M0,HCI-015,160.196778,43018_2022_337_MOESM7_ESM.xlsx,6f top right
11.0,Docetaxel,,M0,HCI-015,152.576,43018_2022_337_MOESM7_ESM.xlsx,6f top right
15.0,Docetaxel,,M0,HCI-015,126.880038,43018_2022_337_MOESM7_ESM.xlsx,6f top right
18.0,Docetaxel,,M0,HCI-015,120.0864375,43018_2022_337_MOESM7_ESM.xlsx,6f top right
22.0,Docetaxel,,M0,HCI-015,100.5723,43018_2022_337_MOESM7_ESM.xlsx,6f top right
1.0,Docetaxel,,M1,HCI-015,105.5925,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Docetaxel,,M1,HCI-015,79.8946055,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Docetaxel,,M1,HCI-015,148.014742,43018_2022_337_MOESM7_ESM.xlsx,6f top right
11.0,Docetaxel,,M1,HCI-015,111.6,43018_2022_337_MOESM7_ESM.xlsx,6f top right
15.0,Docetaxel,,M1,HCI-015,97.215268,43018_2022_337_MOESM7_ESM.xlsx,6f top right
18.0,Docetaxel,,M1,HCI-015,64.8044875,43018_2022_337_MOESM7_ESM.xlsx,6f top right
22.0,Docetaxel,,M1,HCI-015,49.800672,43018_2022_337_MOESM7_ESM.xlsx,6f top right
1.0,Docetaxel,,M2,HCI-015,107.648,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Docetaxel,,M2,HCI-015,64.135018,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Docetaxel,,M2,HCI-015,79.4628915,43018_2022_337_MOESM7_ESM.xlsx,6f top right
11.0,Docetaxel,,M2,HCI-015,46.994448,43018_2022_337_MOESM7_ESM.xlsx,6f top right
15.0,Docetaxel,,M2,HCI-015,62.242048,43018_2022_337_MOESM7_ESM.xlsx,6f top right
18.0,Docetaxel,,M2,HCI-015,64.605042,43018_2022_337_MOESM7_ESM.xlsx,6f top right
22.0,Docetaxel,,M2,HCI-015,70.09705,43018_2022_337_MOESM7_ESM.xlsx,6f top right
1.0,Vehicle,,M0,HCI-015,138.915,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Vehicle,,M0,HCI-015,145.330504,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Vehicle,,M0,HCI-015,182.6566875,43018_2022_337_MOESM7_ESM.xlsx,6f top right
11.0,Vehicle,,M0,HCI-015,203.187798,43018_2022_337_MOESM7_ESM.xlsx,6f top right
15.0,Vehicle,,M0,HCI-015,306.9543645,43018_2022_337_MOESM7_ESM.xlsx,6f top right
18.0,Vehicle,,M0,HCI-015,338.6242485,43018_2022_337_MOESM7_ESM.xlsx,6f top right
22.0,Vehicle,,M0,HCI-015,389.207,43018_2022_337_MOESM7_ESM.xlsx,6f top right
1.0,Vehicle,,M1,HCI-015,178.85,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Vehicle,,M1,HCI-015,172.1692665,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Vehicle,,M1,HCI-015,261.140824,43018_2022_337_MOESM7_ESM.xlsx,6f top right
11.0,Vehicle,,M1,HCI-015,322.8452955,43018_2022_337_MOESM7_ESM.xlsx,6f top right
15.0,Vehicle,,M1,HCI-015,356.979056,43018_2022_337_MOESM7_ESM.xlsx,6f top right
18.0,Vehicle,,M1,HCI-015,326.810204,43018_2022_337_MOESM7_ESM.xlsx,6f top right
22.0,Vehicle,,M1,HCI-015,433.2,43018_2022_337_MOESM7_ESM.xlsx,6f top right
1.0,Vehicle,,M2,HCI-015,121.086,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Vehicle,,M2,HCI-015,147.9168115,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Vehicle,,M2,HCI-015,230.538924,43018_2022_337_MOESM7_ESM.xlsx,6f top right
11.0,Vehicle,,M2,HCI-015,249.67965,43018_2022_337_MOESM7_ESM.xlsx,6f top right
15.0,Vehicle,,M2,HCI-015,355.743,43018_2022_337_MOESM7_ESM.xlsx,6f top right
18.0,Vehicle,,M2,HCI-015,294.208936,43018_2022_337_MOESM7_ESM.xlsx,6f top right
22.0,Vehicle,,M2,HCI-015,343.901538,43018_2022_337_MOESM7_ESM.xlsx,6f top right
1.0,Vehicle,,M3,HCI-015,130.235,43018_2022_337_MOESM7_ESM.xlsx,6f top right
4.0,Vehicle,,M3,HCI-015,101.71303,43018_2022_337_MOESM7_ESM.xlsx,6f top right
8.0,Vehicle,,M3,HCI-015,133.490286,43018_2022_337_MOESM7_ESM.xlsx,6f top right
